Wii
NES
PC
GB
DS
X360
SNES
PS3
PS4
3DS
PS2
GBA
NS
GEN
N64
PS
XOne
WiiU
XB
PSP
2600
GC
GBC
PSN
PSV
DC
SAT
SCD
WS
XBL
Amig
VC
NG
WW
PCE
3DO
GG
OSX
PCFX
Mob
And
Ouya
DSiW
MS
DSi
VB
Linux
MSD
C128
AST
Lynx
7800
5200
S32X
MSX
FMT
ACPC
C64
BRW
AJ
ZXS
NGage
GIZ
WinP
iQue
iOS
Arc
ApII
Aco
BBCM
TG16
CDi
CD32
Int
