Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Year
55272,The Elder Scrolls: Legends,the-elder-scrolls-legends,Misc,,XOne,Unknown,Bethesda Game Studios,0.0
55273,The Elder Scrolls: Legends,the-elder-scrolls-legends,Misc,,NS,Unknown,Bethesda Game Studios,0.0
55277,The Fall,the-fall,Adventure,,NS,Unknown,Over the Moon,0.0
55278,The Fall Part 2: Unbound,the-fall-part-2-unbound,Action-Adventure,,PS4,Unknown,Over the Moon,0.0
55279,The Fall Part 2: Unbound,the-fall-part-2-unbound,Action-Adventure,,XOne,Unknown,Over the Moon,0.0
55281,The Fall Part 2: Unbound,the-fall-part-2-unbound,Action-Adventure,,PC,Unknown,Over the Moon,0.0
55282,The Fall Part 2: Unbound,the-fall-part-2-unbound,Action-Adventure,,Linux,Unknown,Over the Moon,0.0
55284,The Final Station,the-final-station,Action-Adventure,,PS4,Unknown,TinyBuild Games,0.0
55286,The Fox Is Waiting For Me,the-fox-is-waiting-for-me,Visual Novel,,NS,Unknown,Tales Shop,0.0
55289,The Gardens Between,the-gardens-between,Puzzle,RP,PS4,Unknown,The Voxel Agents,0.0
55291,The Gem Collector,the-gem-collector,Adventure,E,WiiU,Unknown,TreeFall Studios,0.0
55292,The Growth Journey,the-growth-journey,Action-Adventure,,PC,Unknown,Cleverweek,0.0
55293,The Hong Kong Massacre,the-hong-kong-massacre,Shooter,,PC,Unknown,VRESKI,0.0
55294,The Hong Kong Massacre,the-hong-kong-massacre,Shooter,,PS4,Unknown,VRESKI,0.0
55301,The Jackbox Party Pack 4,the-jackbox-party-pack-4,Party,,PC,Unknown,Jackbox Games,0.0
55302,The Jackbox Party Pack 5,the-jackbox-party-pack-5,Party,,PC,Unknown,Jackbox Games,0.0
55304,THE KING OF FIGHTERS '97 GLOBAL MATCH,the-king-of-fighters-97-global-match,Fighting,,PC,Unknown,SNK Corporation,0.0
55305,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,the-king-of-fighters-98-ultimate-match-final-edition,Fighting,,PC,Unknown,SNK Corporation,0.0
55306,THE KING OF FIGHTERS XIII STEAM EDITION,the-king-of-fighters-xiii-steam-edition,Fighting,,PC,Unknown,SNK Corporation,0.0
55307,The King of Fighters XIV: Steam Edition,the-king-of-fighters-xiv-steam-edition,Fighting,,PC,Unknown,SNK Corporation|Abstraction Games,0.0
55309,The Last Night,the-last-night,Platform,,XOne,Unknown,Unknown,0.0
55310,The Last Night,the-last-night,Platform,,PC,Unknown,Unknown,0.0
55326,The Little Acre,the-little-acre,Adventure,,PC,Unknown,Pewter Games Studios,0.0
55327,The Little Acre,the-little-acre,Adventure,,Linux,Unknown,Pewter Games Studios,0.0
55328,The Little Acre,the-little-acre,Adventure,,OSX,Unknown,Pewter Games Studios,0.0
55329,The Little Acre,the-little-acre,Adventure,,PS4,Unknown,Pewter Games Studios,0.0
55330,The Little Acre,the-little-acre,Adventure,,XOne,Unknown,Pewter Games Studios,0.0
55331,The Little Acre,the-little-acre,Adventure,,iOS,Unknown,Pewter Games Studios,0.0
55337,The Magical Silence,the-magical-silence,Puzzle,,PC,Unknown,Anatoliy Loginovskikh,0.0
55338,The Mammoth,the-mammoth,Adventure,,PC,Unknown,inbetweengames,0.0
55342,The Mercury Man,the-mercury-man,Action,,PC,Unknown,Mehsoft,0.0
55353,The Outer Worlds,the-outer-worlds,Role-Playing,,PC,Unknown,Obsidian Entertainment,0.0
55354,The Outer Worlds,the-outer-worlds,Role-Playing,,PS4,Unknown,Obsidian Entertainment,0.0
55355,The Outer Worlds,the-outer-worlds,Role-Playing,,XOne,Unknown,Obsidian Entertainment,0.0
55356,The Pathless,the-pathless,Adventure,,PS4,Unknown,Giant Squid Studios,0.0
55357,The Pathless,the-pathless,Adventure,,PC,Unknown,Giant Squid Studios,0.0
55358,The Perplexing Orb,the-perplexing-orb,Adventure,E,WiiU,Unknown,TreeFall Studios,0.0
55364,The Quiet Man,the-quiet-man,Action,,PS4,Unknown,Human Head Studios,0.0
55365,The Quiet Man,the-quiet-man,Action,,PC,Unknown,Human Head Studios,0.0
55370,The Room Three,the-room-three,Adventure,,PC,Unknown,Fireproof Games,0.0
55371,The Sea Will Claim Everything,the-sea-will-claim-everything,Adventure,,PC,Unknown,Jonas Kyratzes,0.0
55377,The Simpsons Arcade Game,the-simpsons-arcade-game,Action,,PSN,Unknown,Konami,0.0
55378,The Simpsons Arcade Game,the-simpsons-arcade-game,Action,,XBL,Unknown,Konami,0.0
55382,The Solus Project,the-solus-project,Adventure,,PC,Unknown,Hourences,0.0
55383,The Spectrum Retreat,the-spectrum-retreat,Puzzle,,PC,Unknown,Dan Smith Studios,0.0
55384,The Spectrum Retreat,the-spectrum-retreat,Puzzle,,XOne,Unknown,Dan Smith Studios,0.0
55385,The Spectrum Retreat,the-spectrum-retreat,Puzzle,,PS4,Unknown,Dan Smith Studios,0.0
55386,The Spectrum Retreat,the-spectrum-retreat,Puzzle,,NS,Unknown,Dan Smith Studios,0.0
55387,The Stanley Parable,the-stanley-parable,Adventure,,PC,Unknown,Galactic Cafe,0.0
55389,The Station,the-station,Adventure,,XOne,Unknown,The Station,0.0
55390,The Station,the-station,Adventure,,PS4,Unknown,The Station,0.0
55391,The Station,the-station,Adventure,,PC,Unknown,The Station,0.0
55400,The Turing Test,the-turing-test,Puzzle,,PC,Unknown,Bulkhead Interactive,0.0
55406,The Walking Dead - A Telltale Series - The Final Season,the-walking-dead-a-telltale-series-the-final-season,Adventure,,PC,Unknown,Telltale Games,0.0
55407,The Walking Dead: Season Two,the-walking-dead-season-two,Shooter,,NS,Unknown,Telltale Games,0.0
55408,The Wardrobe,the-wardrobe,Adventure,,NS,Unknown,C.I.N.I.C. Games,0.0
55409,The Way,the-way,Adventure,,PC,Unknown,Puzzling Dream,0.0
55410,The Way,the-way,Adventure,,OSX,Unknown,Puzzling Dream,0.0
55411,The Way,the-way,Adventure,,Linux,Unknown,Puzzling Dream,0.0
55412,The Way,the-way,Adventure,,XOne,Unknown,Puzzling Dream,0.0
55414,The Witcher Adventure Game,the-witcher-adventure-game,Adventure,,PC,Unknown,CD Projekt Red Studio,0.0
55422,This War of Mine: Complete Edition,this-war-of-mine-complete-edition,Simulation,,NS,Unknown,11 bit studios,0.0
55423,Three Heroes,three-heroes,Role-Playing,,PC,Unknown,Cats Who Play,0.0
55425,Thumper,thumper,Action,,PS4,Unknown,Drool,0.0
