Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Year
23729,Bad Day,bad-day,Misc,,PC,Unknown,Unknown,2020.0
24421,Beyond Good & Evil 2,beyond-good-amp-evil-2,Adventure,E10,PS3,Unknown,Ubisoft Montpellier,2020.0
24422,Beyond Good & Evil 2,beyond-good-amp-evil-2,Adventure,RP,X360,Unknown,Ubisoft Montpellier,2020.0
24423,Beyond Good & Evil 2,beyond-good-amp-evil-2,Adventure,RP,PC,Unknown,Ubisoft Montpellier,2020.0
24580,BioShock Vita,bioshock-vita,Shooter,RP,PSV,2K Games,Irrational Games,2020.0
24656,Black Gold,black-gold,Misc,,PC,Unknown,Unknown,2020.0
24657,Black Guards,black-guards,Misc,,PC,Unknown,Unknown,2020.0
24818,Blockscape,blockscape,Misc,,OSX,Sega Falcom,Unknown,2020.0
24819,Blockscape,blockscape,Misc,,Linux,Sega Falcom,Unknown,2020.0
24820,Blockscape,blockscape,Misc,,PC,Sega Falcom,Unknown,2020.0
24826,Bloktonik,bloktonik,Puzzle,,WW,Unknown,Robotube Games,2020.0
24838,Blood Knights,blood-knights,Misc,,PS3,Unknown,Unknown,2020.0
24839,Blood Knights,blood-knights,Misc,,X360,Unknown,Unknown,2020.0
24840,Blood Knights,blood-knights,Misc,,PC,Unknown,Unknown,2020.0
24868,Bloom,bloom,Misc,,PC,Studio Fawn,Unknown,2020.0
24869,Bloom,bloom,Misc,,OSX,Studio Fawn,Unknown,2020.0
24879,Blue Almanac,blue-almanac,Role-Playing,,GEN,Unknown,Hot B,2020.0
25323,Brett Hull Hockey,brett-hull-hockey,Sports,,GEN,Unknown,Radical Entertainment,2020.0
25337,Brick-Force,brick-force,Misc,,PC,Monolith,Unknown,2020.0
25338,Brick-Force,brick-force,Misc,,OSX,Monolith,Unknown,2020.0
25339,Brick-Force,brick-force,Misc,,And,Monolith,Unknown,2020.0
25475,Bulletproof Monk,bulletproof-monk,Action,,GC,Unknown,Mucky Foot,2020.0
25704,Call For Heroes: Pompolic Wars,call-for-heroes-pompolic-wars,Role-Playing,T,Wii,Unknown,Quotix Software,2020.0
25705,Call Me,call-me,Misc,,XBL,Unknown,Utopioneer Games,2020.0
25759,Camelot Unchained,camelot-unchained,Misc,,PC,City State Entertainment,Unknown,2020.0
25760,CamGun,camgun,Misc,,GIZ,Unknown,Domenecus Software,2020.0
26002,Castle of Illusion Starring Mickey Mouse,castle-of-illusion-starring-mickey-mouse,Misc,,WiiU,Sega,Unknown,2020.0
26003,Castle of Illusion Starring Mickey Mouse,castle-of-illusion-starring-mickey-mouse,Misc,,PSV,Sega,Unknown,2020.0
26004,Castle of Illusion Starring Mickey Mouse,castle-of-illusion-starring-mickey-mouse,Misc,,PS3,Sega,Unknown,2020.0
26005,Castle of Illusion Starring Mickey Mouse,castle-of-illusion-starring-mickey-mouse,Misc,,X360,Sega,Unknown,2020.0
26014,Castle Story,castle-story,Misc,,OSX,Zono Incorporated,Unknown,2020.0
26015,Castle Story,castle-story,Misc,,Linux,Zono Incorporated,Unknown,2020.0
26087,Caveman Rock,caveman-rock,Puzzle,E,DS,Unknown,Cyber Planet Interactive,2020.0
26260,Checkmate,checkmate,Misc,,GB,Unknown,Altron,2020.0
26303,Chevalier Saga Tactics,chevalier-saga-tactics,Role-Playing,,PSN,Unknown,imageepoch Inc.,2020.0
26469,Chronoblade,chronoblade,Misc,,Ouya,nWay,Unknown,2020.0
26583,CLANG,clang,Misc,,PC,Capcom Entertainment,Unknown,2020.0
26584,CLANG,clang,Misc,,OSX,Capcom Entertainment,Unknown,2020.0
26775,CoinRPG,coinrpg,Misc,,PC,Independent Arts Software GmbH,Unknown,2020.0
26776,CoinRPG,coinrpg,Misc,,OSX,Independent Arts Software GmbH,Unknown,2020.0
26777,CoinRPG,coinrpg,Misc,,Linux,Independent Arts Software GmbH,Unknown,2020.0
26892,Command & Conquer: Generals 2,command-amp-conquer-generals-2,Strategy,,PC,Electronic Arts,BioWare Victory,2020.0
27335,Cross of the Dutchman,cross-of-the-dutchman,Action,,PC,Triangle Studios,Triangle Studios,2020.0
27757,Darius Burst,darius-burst,Shooter,E,PSP,Unknown,Pyramid,2020.0
27887,Dawngate,dawngate,Misc,,PC,Electronic Arts,Unknown,2020.0
27929,De-formers,de-formers,Action,,XOne,GameTrust,Ready at Dawn,2020.0
27930,De-formers,de-formers,Action,,PS4,GameTrust,Ready at Dawn,2020.0
27931,De-formers,de-formers,Action,,PC,GameTrust,Ready at Dawn,2020.0
27958,Dead Nation,dead-nation,Misc,,PSV,Sony Computer Entertainment,Unknown,2020.0
27959,Dead Nation: Road of Devastation,dead-nation-road-of-devastation,Shooter,,PSN,Unknown,Housemarque,2020.0
27965,Dead Phoenix,dead-phoenix,Action,,GC,Unknown,Capcom Production Studio 4,2020.0
28063,Deep Black,deep-black,Shooter,RP,PS3,505 Games,BiArt Studios,2020.0
28064,Deep Black,deep-black,Shooter,RP,X360,505 Games,BiArt Studios,2020.0
28065,Deep Black,deep-black,Shooter,RP,PSN,Unknown,BiArt,2020.0
28066,Deep Black,deep-black,Shooter,,XBL,Unknown,BiArt,2020.0
28069,deep down (Working Title),deep-down-working-title,Misc,,PS4,Capcom,Unknown,2020.0
28074,Deep Loot,deep-loot,Misc,,And,Monster and Monster,Unknown,2020.0
28091,Deer Hunter Tournament,deer-hunter-tournament,Sports,T,X360,Unknown,South Logic Studios,2020.0
28329,Devil's Third,devils-third,Action,RP,PS3,Unknown,Valhalla Game Studios,2020.0
28330,Devil's Third,devils-third,Action,RP,X360,Unknown,Valhalla Game Studios,2020.0
28545,Disney Magical World 2: My Happy Life,disney-magical-world-2-my-happy-life,Simulation,,3DS,Namco Bandai Games,Namco Bandai Games,2020.0
28639,Distance,distance,Misc,,Linux,Refract Studios,Unknown,2020.0
28640,Distance,distance,Misc,,OSX,Refract Studios,Unknown,2020.0
28650,Divekick,divekick,Fighting,,XOne,Namco Networks America Inc.,Namco Networks America Inc.,2020.0
29225,Dragons & Titans,dragons-amp-titans,Misc,,OSX,"Thunderstorm Entertainment Inc.,",Unknown,2020.0
29226,Dragons & Titans,dragons-amp-titans,Misc,,PC,"Thunderstorm Entertainment Inc.,",Unknown,2020.0
29758,El Chavo Kart,el-chavo-kart,Misc,,PSV,Slang,Unknown,2020.0
29912,EndWar Online,endwar-online,Misc,,PCFX,Ubisoft Shanghai,Unknown,2020.0
29913,EndWar Online,endwar-online,Misc,,OSX,Ubisoft,Unknown,2020.0
29914,EndWar Online,endwar-online,Misc,,PC,Ubisoft,Unknown,2020.0
30024,ESPN NBA Hangtime '95,espn-nba-hangtime-95,Sports,,SNES,Unknown,Sony Imagesoft,2020.0
30150,Evil Twin: Cyprien's Chronicles,evil-twin-cypriens-chronicles,Platform,,PS2,Unknown,In Utero,2020.0
30151,Evil Twin: Cyprien's Chronicles,evil-twin-cypriens-chronicles,Platform,T,DC,Unknown,In Utero,2020.0
30794,Fighter's History Dynamite,fighters-history-dynamite,Fighting,T,VC,Unknown,Data East,2020.0
30983,Firefall,firefall,Shooter,,PC,Red 5 Studio,Red Cerberus,2020.0
31183,Food Battle: The Game,food-battle-the-game,Misc,,PC,Smosh LLC,Unknown,2020.0
31184,Food Battle: The Game,food-battle-the-game,Misc,,And,Smosh LLC,Unknown,2020.0
31198,Football Manager 2015,football-manager-2015,Simulation,,And,Sega,Sports Interactive,2020.0
31212,FORCED,forced,Misc,,PS3,BetaDwarf,Unknown,2020.0
31213,FORCED,forced,Misc,,X360,BetaDwarf,Unknown,2020.0
31216,FORCED,forced,Role-Playing,,XOne,BetaDwarf,BetaDwarf,2020.0
31252,Formula 1 Sensation,formula-1-sensation,Racing,,NES,Unknown,Konami,2020.0
31873,Garfield Gets Real,garfield-gets-real,Action,E,Wii,Unknown,PAWS,2020.0
31908,Gauntlet,gauntlet,Action,T,DS,Unknown,Backbone Entertainment,2020.0
32106,Ghost Whisperer: Shadowlands,ghost-whisperer-shadowlands,Misc,,PC,Unknown,Unknown,2020.0
32131,Ghosts 'n Goblins,ghosts-n-goblins,Misc,,GBA,Capcom,Unknown,2020.0
32731,Gun Loco,gun-loco,Shooter,,X360,Unknown,AQ Interactive,2020.0
33005,Hannah Montana: Pop Star Exclusive,hannah-montana-pop-star-exclusive,Action,,DS,Unknown,Disney Interactive Studios,2020.0
33058,HardGrip,hardgrip,Sports,RP,Wii,Unknown,Human Soft,2020.0
33059,HardGrip,hardgrip,Sports,RP,PS3,Unknown,Human Soft,2020.0
33060,HardGrip,hardgrip,Sports,RP,X360,Unknown,Human Soft,2020.0
33201,Hearthstone: Heroes of Warcraft,hearthstone-heroes-of-warcraft,Misc,,OSX,Blizzard Entertainment,Unknown,2020.0
33202,Hearthstone: Heroes of Warcraft,hearthstone-heroes-of-warcraft,Misc,,PC,Blizzard Entertainment,Unknown,2020.0
33260,Hei$t,heit,Action,,X360,Unknown,InXile Entertainment,2020.0
33261,Hei$t,heit,Action,,PC,Unknown,InXile Entertainment,2020.0
33262,Hei$t,heit,Action,,PS3,Unknown,InXile Entertainment,2020.0
33352,Hellraiser,hellraiser,Shooter,,NES,Unknown,Color Dreams,2020.0
33389,Hero-U: Rogue to Redemption,hero-u-rogue-to-redemption,Misc,,PC,Transolar Games,Unknown,2020.0
33390,Hero-U: Rogue to Redemption,hero-u-rogue-to-redemption,Misc,,OSX,Transolar Games,Unknown,2020.0
33391,Hero-U: Rogue to Redemption,hero-u-rogue-to-redemption,Misc,,Linux,Transolar Games,Unknown,2020.0
33392,Heroes and Generals,heroes-and-generals,Misc,,PC,Unknown,Unknown,2020.0
33486,High Heat Major League Baseball 2004,high-heat-major-league-baseball-2004,Sports,E,GBA,Unknown,3DO,2020.0
33499,Highlander,highlander,Action,RP,PC,Unknown,Unknown,2020.0
33500,Highlander,highlander,Action,RP,X360,Unknown,Unknown,2020.0
33501,Highlander,highlander,Action,RP,PS3,Unknown,Unknown,2020.0
33683,Homeworld: Shipbreakers,homeworld-shipbreakers,Strategy,,PC,Gearbox Software,Blackbird Interactive,2020.0
33804,Hover : Revolt of Gamers,hover-revolt-of-gamers,Misc,,Linux,Unknown,Unknown,2020.0
33805,Hover : Revolt of Gamers,hover-revolt-of-gamers,Misc,,PC,Unknown,Unknown,2020.0
33806,Hover : Revolt of Gamers,hover-revolt-of-gamers,Misc,,OSX,Unknown,Unknown,2020.0
33841,Hugo Bukkazoom!,hugo-bukkazoom,Racing,E,GBA,Unknown,ITE Media,2020.0
33888,Huxley: The Dystopia,huxley-the-dystopia,Role-Playing,RP,X360,Unknown,Webzen,2020.0
33889,Huxley: The Dystopia,huxley-the-dystopia,Role-Playing,RP,PC,Unknown,Webzen,2020.0
34218,inSane,insane,Action,RP,PS3,Unknown,Volition Studios,2020.0
34219,inSane,insane,Action,RP,X360,Unknown,Volition Studios,2020.0
34233,Inside My Radio,inside-my-radio,Platform,,XOne,Seaven Studio,Seaven Studio,2020.0
34234,Inside My Radio,inside-my-radio,Platform,,PS4,Seaven Studio,Seaven Studio,2020.0
34235,Inside My Radio,inside-my-radio,Platform,,PC,Seaven Studio,Seaven Studio,2020.0
34316,Into the Stars,into-the-stars,Simulation,,OSX,Fugitive Games,Fugitive Games,2020.0
34317,Into the Stars,into-the-stars,Simulation,,PC,Fugitive Games,Fugitive Games,2020.0
34481,Jack Houston and the Necronauts,jack-houston-and-the-necronauts,Misc,,PC,Unknown,Unknown,2020.0
35015,Kaiju Panic,kaiju-panic,Strategy,,XOne,Mechabit,Mechabit,2020.0
35016,Kaiju Panic,kaiju-panic,Strategy,,Linux,Mechabit,Mechabit,2020.0
35017,Kaiju Panic,kaiju-panic,Strategy,,OSX,Mechabit,Mechabit,2020.0
35018,Kaiju Panic,kaiju-panic,Strategy,,PC,Mechabit,Mechabit,2020.0
35503,Kitty Luv,kitty-luv,Simulation,,Wii,Unknown,Unknown,2020.0
35823,Lacuna Passage,lacuna-passage,Misc,,OSX,Infogrames Melbourne,Unknown,2020.0
35824,Lacuna Passage,lacuna-passage,Misc,,PC,Infogrames Melbourne,Unknown,2020.0
35825,Lacuna Passage,lacuna-passage,Misc,,Linux,Infogrames Melbourne,Unknown,2020.0
35826,Lady Layton: The Millionaire Ariadone's Conspiracy,lady-layton-the-millionaire-ariadones-conspiracy,Puzzle,,3DS,Unknown,Level 5,2020.0
35849,Landmark,landmark,Role-Playing,,PC,Sony Online Entertainment,Sony Online Entertainment,2020.0
36422,Lovers in a Dangerous Spacetime,lovers-in-a-dangerous-spacetime,Misc,,OSX,Asteroid Base,Unknown,2020.0
36423,Lovers in a Dangerous Spacetime,lovers-in-a-dangerous-spacetime,Action,,XOne,Asteroid Base,Asteroid Base,2020.0
36544,M.A.V.,mav,Misc,,PC,BombDog,Unknown,2020.0
36802,Magrunner: Dark Pulse,magrunner-dark-pulse,Misc,,X360,Unknown,Unknown,2020.0
36803,Magrunner: Dark Pulse,magrunner-dark-pulse,Misc,,PS3,Focus Home Interactive,Unknown,2020.0
37202,Mashed,mashed,Racing,,PS2,Unknown,Supersonic,2020.0
37291,Math Patrol: The Venus Virus,math-patrol-the-venus-virus,Misc,E,GBA,Unknown,GXB Interactive,2020.0
37520,Megatokyo,megatokyo,Misc,,Linux,Supersonic,Unknown,2020.0
37521,Megatokyo,megatokyo,Misc,,PC,Supersonic,Unknown,2020.0
37522,Megatokyo,megatokyo,Misc,,OSX,Supersonic,Unknown,2020.0
37763,Metroid Prime 4,metroid-prime-4,Action-Adventure,RP,NS,Nintendo,Nintendo,2020.0
37764,Mevius Final Fantasy,mevius-final-fantasy,Role-Playing,,And,Square Enix,Square Enix,2020.0
37978,Minecraft: Story Mode,minecraft-story-mode,Adventure,,PSV,Mojang,Telltale Games,2020.0
38090,Mistborn: Birthright,mistborn-birthright,Misc,,X360,Little Orbit,Unknown,2020.0
38091,Mistborn: Birthright,mistborn-birthright,Misc,,PS3,Little Orbit,Unknown,2020.0
38092,Mistborn: Birthright,mistborn-birthright,Misc,,PC,Little Orbit,Unknown,2020.0
38093,Mister Rogers the Video Game,mister-rogers-the-video-game,Platform,,PC,Unknown,SM64Guy,2020.0
38214,Monaco: What's Yours Is Mine,monaco-whats-yours-is-mine,Misc,,OSX,Pocketwatch Games,Unknown,2020.0
38628,Muse: Together Is the New Alone,muse-together-is-the-new-alone,Adventure,,PS4,Pygmy Studio,Pygmy Studio,2020.0
38629,Muse: Together Is the New Alone,muse-together-is-the-new-alone,Adventure,,PSV,Pygmy Studio,Pygmy Studio,2020.0
39129,Need for Speed No Limits,need-for-speed-no-limits,Racing,,And,Electronic Arts,Firemonkeys,2020.0
39181,Neo Aquarium 2: Ace of Seafood,neo-aquarium-2-ace-of-seafood,Action,,PC,Playism,Nussoft,2020.0
39182,Neo Aquarium 2: Ace of Seafood,neo-aquarium-2-ace-of-seafood,Action,,And,Playism,Nussoft,2020.0
39717,Nosgoth,nosgoth,Action,,PC,Square Enix,Psyonix,2020.0
39832,Oddworld: Abe's Oddysee New N' Tasty!,oddworld-abes-oddysee-new-n-tasty,Platform,,PSV,Oddworld Inhabitants,Just Add Water,2020.0
39835,Oddworld: Abe's Oddysee New N' Tasty!,oddworld-abes-oddysee-new-n-tasty,Misc,,WiiU,Oddworld Inhabitants,Unknown,2020.0
39866,Off-Road Drive,off-road-drive,Racing,,PS3,1C Company,Avalon Style,2020.0
39867,Off-Road Drive,off-road-drive,Racing,,X360,1C Company,Avalon Style,2020.0
40056,Order Up!!,order-up,Action,,PSV,Ignition Entertainment,SuperVillain Studios,2020.0
40858,Pier Solar and the Great Architects,pier-solar-and-the-great-architects,Role-Playing,,X360,WaterMelon,WaterMelon Development,2020.0
40862,Pier Solar and the Great Architects,pier-solar-and-the-great-architects,Role-Playing,,Ouya,WaterMelon,WaterMelon Development,2020.0
40867,Pier Solar and the Great Architects,pier-solar-and-the-great-architects,Role-Playing,,And,WaterMelon,WaterMelon Development,2020.0
40940,Pinky and the Brain: The Master Plan,pinky-and-the-brain-the-master-plan,Platform,,GBA,Unknown,Warthog,2020.0
40953,Pipe Mania,pipe-mania,Puzzle,,Wii,Unknown,Razorworks Studios,2020.0
41062,Plague Inc.,plague-inc,Strategy,,XOne,Ndemic Creations,Ndemic Creations,2020.0
41063,Plain Sight,plain-sight,Action,,PSN,Unknown,Beatnik Games,2020.0
41064,Plain Sight,plain-sight,Action,,WW,Unknown,Beatnik Games,2020.0
41385,Portal 1 & 2 Pack,portal-1-amp-2-pack,Misc,,PC,Unknown,Valve Software,2020.0
41525,Prey 2,prey-2,Shooter,,PS3,Bethesda Softworks,Human Head Studios,2020.0
41526,Prey 2,prey-2,Shooter,,X360,Bethesda Softworks,Human Head Studios,2020.0
41527,Prey 2,prey-2,Shooter,,PC,Bethesda Softworks,Human Head Studios,2020.0
41536,Primal Carnage: Genesis,primal-carnage-genesis,Misc,,PS4,Unknown,Unknown,2020.0
41548,Prime World,prime-world,Misc,,And,Unknown,Unknown,2020.0
41549,Prime World,prime-world,Misc,,PC,Unknown,Unknown,2020.0
41757,Project Phoenix,project-phoenix,Misc,,PSV,Unknown,Unknown,2020.0
41758,Project Phoenix,project-phoenix,Misc,,And,Unknown,Unknown,2020.0
41759,Project Phoenix,project-phoenix,Misc,,Linux,Unknown,Unknown,2020.0
41760,Project Phoenix,project-phoenix,Misc,,OSX,Unknown,Unknown,2020.0
41761,Project Phoenix,project-phoenix,Misc,,PC,Unknown,Unknown,2020.0
41762,Project Phoenix,project-phoenix,Misc,,PS4,Unknown,Unknown,2020.0
41774,Project Zomboid,project-zomboid,Misc,,Linux,The Indie Stone,Unknown,2020.0
41775,Project Zomboid,project-zomboid,Misc,,OSX,The Indie Stone,Unknown,2020.0
41776,Project Zomboid,project-zomboid,Misc,,PC,The Indie Stone,Unknown,2020.0
41942,Puzzle Agent,puzzle-agent,Puzzle,E,WW,Unknown,Telltale Games,2020.0
42812,Retro City Rampage,retro-city-rampage,Action,RP,WW,Unknown,Vblank Entertainment Inc.,2020.0
42843,ReVeN,reven,Misc,,Linux,Unknown,Unknown,2020.0
42844,ReVeN,reven,Misc,,OSX,Unknown,Unknown,2020.0
42845,ReVeN,reven,Misc,,PC,Unknown,Unknown,2020.0
42973,Risk of Rain,risk-of-rain,Misc,,PSV,"Infocom, Inc.",Unknown,2020.0
43063,RoboCop,robocop,Shooter,,GBA,Unknown,Mirage Interactive,2020.0
43064,RoboCop,robocop,Shooter,,GC,Unknown,Titus Software,2020.0
43149,Rocketbirds 2: Evolution,rocketbirds-2-evolution,Misc,,PS4,Unknown,Unknown,2020.0
43452,S.T.A.L.K.E.R. 2,stalker-2,Shooter,RP,PC,Unknown,GSC Game World,2020.0
43472,Sacrilegium,sacrilegium,Misc,,PC,TopWare Interactive,Unknown,2020.0
43473,Sacrilegium,sacrilegium,Misc,,X360,TopWare Interactive,Unknown,2020.0
43474,Sacrilegium,sacrilegium,Misc,,PS3,TopWare Interactive,Unknown,2020.0
43475,Sacrilegium,sacrilegium,Misc,,OSX,TopWare Interactive,Unknown,2020.0
43478,Sadness,sadness,Adventure,RP,Wii,Unknown,Nibris,2020.0
43617,Samphi,samphi,Misc,,PC,Desura,Unknown,2020.0
43751,SBK08 Superbike World Championship,sbk08-superbike-world-championship,Racing,,PC,Unknown,Milestone,2020.0
44128,Seraph of the End: The Origin of Fate,seraph-of-the-end-the-origin-of-fate,Role-Playing,,PSV,Namco Bandai Games,Namco Bandai Games,2020.0
44692,Silent Hills,silent-hills,Action,,PS4,Konami Digital Entertainment,Kojima Productions,2020.0
44694,Silent Hunter Online,silent-hunter-online,Strategy,,PC,Ubisoft,Blue Byte,2020.0
44952,Sine Mora,sine-mora,Shooter,RP,PSN,Unknown,Digital Reality,2020.0
44953,Sine Mora,sine-mora,Shooter,RP,XBL,Unknown,Digital Reality,2020.0
44991,Sins of a Dark Age,sins-of-a-dark-age,Misc,,PC,Infinite Game Publishing,Unknown,2020.0
45133,Slender: The Arrival,slender-the-arrival,Misc,,WiiU,Unknown,Unknown,2020.0
45134,Slender: The Arrival,slender-the-arrival,Misc,,X360,Unknown,Unknown,2020.0
45135,Slender: The Arrival,slender-the-arrival,Misc,,PS3,Unknown,Unknown,2020.0
45225,Smart Girl's Magical Book Club,smart-girls-magical-book-club,Misc,E,DS,Unknown,Starfish Inc.,2020.0
45596,Soulcalibur: Unbreakable Soul,soulcalibur-unbreakable-soul,Misc,,And,Namco Bandai Games,Unknown,2020.0
45742,Space Station Tycoon,space-station-tycoon,Simulation,E10,Wii,Unknown,Namco Bandai Games America,2020.0
45743,Space Station Tycoon,space-station-tycoon,Simulation,RP,PSP,Unknown,Namco Bandai Games America,2020.0
45809,Spectra 8bit Racing,spectra-8bit-racing,Racing,,XOne,NetherRealm Studios / Other Ocean Interactive,NetherRealm Studios / Other Ocean Interactive,2020.0
45925,Spin the Bottle: Bumpie's Party,spin-the-bottle-bumpies-party,Misc,,WiiU,KnapNok Games,Unknown,2020.0
46204,Star Trek: Infinite Space,star-trek-infinite-space,Role-Playing,RP,PC,Unknown,GameForge,2020.0
46260,Star Wars: 1313,star-wars-1313,Misc,,X360,LucasArts,Unknown,2020.0
46261,Star Wars: 1313,star-wars-1313,Misc,,PS3,LucasArts,Unknown,2020.0
46262,Star Wars: 1313,star-wars-1313,Misc,,PC,LucasArts,Unknown,2020.0
46469,Stonehearth,stonehearth,Misc,,PC,SIMS Co.,Unknown,2020.0
46470,Stonehearth,stonehearth,Misc,,OSX,SIMS Co.,Unknown,2020.0
46471,Stonehearth,stonehearth,Misc,,Linux,SIMS Co.,Unknown,2020.0
47255,Sword of Fargoal 2,sword-of-fargoal-2,Misc,,PC,Fargoal,Unknown,2020.0
47256,Sword of Fargoal 2,sword-of-fargoal-2,Misc,,Linux,Fargoal,Unknown,2020.0
47257,Sword of Fargoal 2,sword-of-fargoal-2,Misc,,OSX,Fargoal,Unknown,2020.0
47281,Swords & Soldiers II,swords-amp-soldiers-ii,Misc,,WiiU,Ronimo Games,Unknown,2020.0
47429,Tales from the Borderlands,tales-from-the-borderlands,Adventure,,OSX,Telltale Games,Telltale Games,2020.0
47502,Tango Fiesta,tango-fiesta,Misc,,PC,Mastertronic,Unknown,2020.0
47922,The Agency,the-agency,Role-Playing,,PS3,Unknown,Sony Online Entertainment,2020.0
47926,The Amazing Race,the-amazing-race,Misc,RP,DS,Unknown,Ludia Inc.,2020.0
47927,The Amazing Race,the-amazing-race,Misc,RP,PC,Unknown,Ludia Inc.,2020.0
47928,The Amazing Race,the-amazing-race,Misc,RP,X360,Unknown,Ludia Inc.,2020.0
47965,The Banner Saga 2,the-banner-saga-2,Role-Playing,,PSV,Versus Evil,Stoic Studio,2020.0
48099,The Dead Linger,the-dead-linger,Misc,,PC,Sandswept Studios,Unknown,2020.0
48184,The Fish Files,the-fish-files,Adventure,T,GB,Unknown,7th Sense s.r.l.,2020.0
48984,The Walking Dead: Season Three,the-walking-dead-season-three,Action,,XOne,Telltale Games,Telltale Games,2020.0
48985,The Walking Dead: Season Three,the-walking-dead-season-three,Action,,And,Telltale Games,Telltale Games,2020.0
49039,Theatrhythm Final Fantasy: All-Star Festival,theatrhythm-final-fantasy-all-star-festival,Misc,,Arc,Square Enix,Square Enix,2020.0
49048,Theme Park,theme-park,Simulation,,SCD,Unknown,Bullfrog Productions,2020.0
49058,They,they,Shooter,,PS3,Unknown,Metropolis Software,2020.0
49059,They,they,Shooter,,PC,Unknown,Metropolis Software,2020.0
49060,They,they,Shooter,,X360,Unknown,Metropolis Software,2020.0
49438,Tom Clancy's Rainbow Six Vegas 2 / Ghost Recon AW,tom-clancys-tainbow-six-vegas-2,Misc,,WiiU,Ubisoft,Unknown,2020.0
50137,Ubusuna,ubusuna,Shooter,,PS4,M2 Studios,M2 Studios,2020.0
50228,Ultimate Band,ultimate-band,Misc,,PS2,Unknown,Disney Interactive Studios,2020.0
50344,Undercover Cops,undercover-cops,Action,,SNES,Unknown,Irem Software Engineering,2020.0
50347,UnderTale,undertale,Misc,,OSX,Rocket Science,Unknown,2020.0
50553,"Vampires,Zombies and Monsters Attack","zombies and monsters attack""",Misc,,Linux,Unknown,Unknown,2020.0
50554,"Vampires,Zombies and Monsters Attack","zombies and monsters attack""",Misc,,PC,Unknown,Unknown,2020.0
50555,"Vampires,Zombies and Monsters Attack","zombies and monsters attack""",Misc,,OSX,Unknown,Unknown,2020.0
50639,Vessel,vessel,Misc,,X360,Namco Bandai Games,Unknown,2020.0
50973,War Thunder,war-thunder,Misc,,PC,Gaijin Entertainment,Unknown,2020.0
50974,War Thunder,war-thunder,Misc,,OSX,Gaijin Entertainment,Unknown,2020.0
50998,Warface,warface,Misc,,PC,Trion Worlds,Unknown,2020.0
50999,Warface,warface,Misc,,X360,Trion Worlds,Unknown,2020.0
51000,Warface,warface,Misc,,PS3,Trion Worlds,Unknown,2020.0
51061,Warmachine: Tactics,warmachine-tactics,Misc,,OSX,Privateer Press Interactive,Unknown,2020.0
51062,Warmachine: Tactics,warmachine-tactics,Misc,,PC,Privateer Press Interactive,Unknown,2020.0
51085,Wasteland 2,wasteland-2,Misc,,Linux,inXile Entertainment,Unknown,2020.0
51086,Wasteland 2,wasteland-2,Misc,,OSX,inXile Entertainment,Unknown,2020.0
51268,Whore of the Orient,whore-of-the-orient,Misc,,PS4,Warner Bros. Interactive Entertainment,Unknown,2020.0
51269,Whore of the Orient,whore-of-the-orient,Misc,,XOne,Warner Bros. Interactive Entertainment,Unknown,2020.0
51270,Whore of the Orient,whore-of-the-orient,Misc,,PC,Warner Bros. Interactive Entertainment,Unknown,2020.0
51278,Wicked Surfing,wicked-surfing,Sports,E,GB,Unknown,Cave Barn,2020.0
51465,Wizardology,wizardology,Adventure,RP,DS,Unknown,Double Six,2020.0
51466,Wizardology,wizardology,Adventure,RP,Wii,Unknown,Double Six,2020.0
51621,Woolfe: The Red Hood Diaries,woolfe-the-red-hood-diaries,Adventure,,XOne,GriN Multimedia,GriN Multimedia,2020.0
51623,Woolfe: The Red Hood Diaries,woolfe-the-red-hood-diaries,Adventure,,PS4,GriN Multimedia,GriN Multimedia,2020.0
51630,Word Searcher 4,word-searcher-4,Puzzle,E,DSiW,Unknown,Digital Leisure Inc.,2020.0
51654,World Beach Volley: 1991 GB Cup,world-beach-volley-1991-gb-cup,Sports,,GB,Unknown,GRC,2020.0
51688,World Cup USA 94,world-cup-usa-94,Sports,,GB,Unknown,Tiertex Design Studios,2020.0
52031,Xyanide Resurrection,xyanide-resurrection,Shooter,RP,PSP,Unknown,Playlogic,2020.0
52467,Zombie Playground,zombie-playground,Misc,,OSX,Massive Black Inc,Unknown,2020.0
52468,Zombie Playground,zombie-playground,Misc,,PC,Massive Black Inc,Unknown,2020.0
52497,Zombii Attack,zombii-attack,Action,E10,WW,Unknown,"Gamers Digital, Inc.",2020.0
53062,Battle Chef Brigade,battle-chef-brigade,Action,,PS4,Trinket Studios,Trinket Studios,2020.0
54007,Journey To the Savage Planet,journey-to-the-savage-planet,Adventure,,PS4,505 Games,Typhoon Studios,2020.0
54008,Journey To the Savage Planet,journey-to-the-savage-planet,Adventure,,XOne,505 Games,Typhoon Studios,2020.0
54009,Journey To the Savage Planet,journey-to-the-savage-planet,Adventure,,PC,505 Games,Typhoon Studios,2020.0
54796,Rune Factory 5,rune-factory-5,Role-Playing,RP,NS,Marvelous Entertainment,Xseed Games,2020.0
